Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
PACIFIC PREMIER BANCORP INC;193711;0;0;0;491000;241171;8913080;331661;8688284;899316;447301;483006;2012590;808322;11776000
PACWEST BANCORP;465039;0;441000;441000;1349560;572007;19234670;637623;18708115;2588205;1014634;1160711;4954703;2548670;26770800
PARAGON BANKING GROUP PLC;503111;n.a.;n.a.;1224442;n.a.;6953756;7862676;1507365;15069094;210470;342460;365340;1363443;202228;17707905
PARGESA HOLDING SA;1405598;n.a.;n.a.;14357;1019108;6619087;n.a.;22648626;1075398;6037079;-98430;6624974;23977380;5333712;35125696
PARK NATIONAL CORPORATION;24389;21302;175657;175657;50000;207500;7052610;159956;6444509;181188;297737;394930;969014;159595;8562740
PEOPLE'S UNITED FINANCIAL, INC;318624;0;2029080;2029080;3105850;1012663;43589090;804571;43921201;3285281;1445582;1837860;7947181;3065520;58579600
PING AN BANK CO LTD;32541004;8904537;5739087;78458851;59885787;14733076;352049231;75126663;323364674;1707314;12875483;19749248;44795048;1083154;563771284
PINNACLE FINANCIAL PARTNERS, INC.;368806;20977;126354;126354;633472;2264608;20181030;569843;19792528;1870940;769103;1022945;4355871;1819810;27805500
PIPER SANDLER COMPANIES;n.a.;n.a.;n.a.;n.a.;49978;175000;n.a.;869398;n.a.;104335;15008;894138;806528;87649;1628719
PNC FINANCIAL SERVICES GROUP INC;25835210;2422410;6299030;6299030;20796100;34882719;288555830;34127750;238193160;11084680;9965065;17821543;49342459;9233140;410373000
POPULAR, INC;3262000;0;193000;193000;243000;981000;43758000;3690000;26746000;851000;1892000;2487000;6017000;671000;52115000
POSTAL SAVINGS BANK OF CHINA CO LTD;63741806;21095463;14120223;27555031;n.a.;12101617;1333056521;154698438;688143975;294833;34381565;39661657;77984685;n.a.;1462245013
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA - PKO BP SA;1362140;284646;n.a.;676199;1043790;8112278;67976403;22900175;60655920;836822;2706638;3956078;10948205;315981;91645991
PRESIDENT SECURITIES CORP;216567;n.a.;696082;696082;98484;7214;n.a.;1609423;n.a.;4290;22420;222999;889051;1395;3180575
PRINCIPAL FINANCIAL GROUP INC;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
PRIVREDNA BANKA ZAGREB D.D;1153249;n.a.;n.a.;270229;n.a.;818507;13515369;5749401;10611421;49775;423013;736551;2619885;2105;17732118
PROMINVESTBANK;26698;n.a.;n.a.;29883;n.a.;n.a.;10360;32342;171255;7263;39047;53688;133307;n.a.;299950
PROSPERITY BANCSHARES, INC;41025;519;377294;377294;1307700;176322;24227460;575924;18757890;3310074;698096;819068;5970838;3223670;32195300
PROVIDENT FINANCIAL SERVICES, INC.;72869;55146;60737;60737;794115;313109;7129407;186701;7277365;437019;297970;361613;1413979;419762;9808580
PSG GROUP LIMITED;35570;n.a.;n.a.;n.a.;n.a.;678405;n.a.;3938378;21226;288356;n.a.;1725826;1989225;170582;6808687
PT BANK BTPN TBK;421925;n.a.;n.a.;840986;422071;2991425;5726163;888443;10151809;76868;511762;886618;2264004;4397;13066062
PT BANK BUKOPIN;317837;n.a.;307537;390577;n.a.;206467;5813498;505752;4879919;17833;134306;201327;640636;13631;7212734
PT BANK CENTRAL ASIA TBK;1807526;688840;8147;491383;204378;96348;50282702;5786739;41918974;99090;3607802;5152329;12527379;61566;66109562
PT BANK CIMB NIAGA TBK;280211;37613;753236;851401;263648;597534;14070947;1712364;13536972;122585;816207;1210325;3114463;n.a.;19744417
PT BANK MAYAPADA INTERNASIONAL TBK;536438;491525;n.a.;201;n.a.;196988;5539823;748482;4968526;n.a.;210044;215101;887847;n.a.;6719574
PT BANK MAYBANK INDONESIA TBK;499398;176598;52196;277652;487914;1029300;7956332;1048264;8633820;16481;469673;773695;1919639;513;12163353
PT BANK RAKYAT INDONESIA AGRONIAGA TBK;189352;163224;n.a.;53583;18759;17149;1521084;318900;1333179;n.a.;49868;54440;322401;n.a.;1947192
PT BANK TABUNGAN PENSIUNAN NASIONAL SYARIAH;2724;n.a.;n.a.;n.a.;n.a.;n.a.;679559;358790;632836;4805;264708;284403;387981;n.a.;1106613
PT BPD JAWA BARAT DAN BANTEN TBK;326297;227483;272810;384790;364835;590169;6041995;1113919;6219184;n.a.;406080;491002;866314;n.a.;8886874
PT. BANK PANIN, TBK;1120386;840377;353245;631311;292490;1212709;9452764;1562211;10597235;10455;599343;782722;3197015;n.a.;15199432
PUBLIC BANK BERHAD;2178285;2006;237179;2312701;14327037;3275567;72011503;14281653;80263041;596955;1850284;2713413;10933709;583380;105761924
PUNJAB NATIONAL BANK;6095275;n.a.;n.a.;6823105;n.a.;5567313;90117713;11216099;62353240;18076;2377235;3531918;8521096;n.a.;112946484
QATAR NATIONAL BANK (Q.P.S.C.);21790182;n.a.;6829496;21534024;n.a.;16385577;188046416;40056216;186451063;1097038;5548481;7042935;26021751;539231;259532345
QINGDAO RURAL COMMERCIAL BANK CO LTD;2233372;323840;2486316;12245995;n.a.;1159349;31316107;10213096;24473383;12217;1014787;1249347;3615529;n.a.;48900441
QNB ALAHLI BANK (S.A.E.);211728;n.a.;n.a.;1002349;n.a.;351715;13013524;4015348;9599589;13118;859930;992698;2207392;n.a.;17070724
QNB FINANSBANK A.S.;3269635;2528455;470181;3096256;n.a.;6658449;16832136;6256635;19621330;80638;1087719;1609138;2823847;n.a.;31472302
RAIFFEISEN BANK INTERNATIONAL AG;11457955;n.a.;1197854;26581672;n.a.;10415543;107656710;48888071;102458810;850902;3833114;6149117;15463580;113827;170980901
RAYMOND JAMES FINANCIAL INC;3896641;326191;200010;200010;882651;1917480;22975103;5221980;24760033;609993;1001871;7925996;6902492;464723;40154000
RBL BANK LTD;325763;n.a.;n.a.;1073016;n.a.;2255981;6595794;1176807;7692776;13676;516531;760818;1401446;5396;11803727
REGIONAL, S.A.B. DE C.V.;212892;n.a.;294664;801053;n.a.;150648;5237090;528198;5572613;32422;408645;650086;1044669;2016;7529769
REGIONS FINANCIAL CORPORATION;2516000;0;0;0;3854000;6102000;97874000;4517000;82731000;5355000;3734000;5908000;16295000;4845000;126633000
RENASANT CORPORATION;223865;0;9091;9091;480004;376504;10213160;414930;9955750;1032292;443657;594863;2125693;939683;13400600
REPUBLIC FINANCIAL HOLDINGS LIMITED;1296415;n.a.;n.a.;775427;n.a.;n.a.;9063591;2067586;6611280;129309;565040;864838;1663817;108087;12959424
RESONA HOLDINGS, INC;5344048;n.a.;4898188;5538813;20787922;10772825;486752353;149456629;335651631;457866;3966237;6402549;21311335;n.a.;556692328
RESURS HOLDING AB;444007;n.a.;n.a.;10205;n.a.;889340;2624825;805799;3370661;221888;312031;395011;767934;190714;4489451
RHB BANK BERHAD;307433;39732;547960;5811082;245985;1541500;46562059;14004866;42330280;802452;882002;1725892;6306856;648533;62942577
RINGKJOEBING LANDBOBANK;31776;4400;2813;328277;n.a.;661119;5070701;2355348;5312455;157258;175003;325940;1139903;138297;7930151
RIYAD BANK;5163650;3901013;2904267;3499862;n.a.;1067474;51871442;12148680;46395202;n.a.;2089871;2898722;10819057;n.a.;70877038
RMB HOLDINGS LIMITED;n.a.;n.a.;n.a.;n.a.;n.a.;1835;n.a.;21242;59843;n.a.;-17854;726025;3479318;n.a.;3758423
ROTHSCHILD & CO;2248725;754345;229286;677066;3603;287262;10484094;8560205;3731610;349890;76862;2103324;3015735;157560;15903449
ROYAL BANK OF CANADA;274266709;245129172;184484037;204082061;n.a.;7458206;653658035;449441476;470255305;12089665;15006838;31851823;63544831;8537994;1085816837
S & T BANCORP, INC.;117443;28519;19888;19888;306992;141980;7036580;203810;7080182;387201;246791;298896;1191998;371621;8764650
SAHARA BANK;5165008;n.a.;n.a.;1813;n.a.;n.a.;7339672;5248822;1474823;n.a.;n.a.;80589;315939;n.a.;9554387
SAIGON - HANOI COMMERCIAL JOINT STOCK BANK;1455776;n.a.;n.a.;2131238;666286;596615;11195714;1970505;11316399;1920;338175;406739;799285;n.a.;15774318
SAIGON THUONG TIN COMMERCIAL JOINT-STOCK BANK- SACOMBANK;567951;n.a.;n.a.;162691;413459;0;17311353;1448074;12613203;15977;396488;627717;1154897;n.a.;19588904
SAMBA FINANCIAL GROUP;2872279;1904708;1876800;4176482;n.a.;1675893;48040184;22377244;37758734;4074;1700440;2292943;12119689;4074;68161017
SAMSUNG SECURITIES CO LTD;2636458;n.a.;12274399;12924770;n.a.;2675284;6080887;30192847;8086649;69018;439349;1072843;4274727;n.a.;38633263
SANDY SPRING BANCORP, INC;63634;208;213605;213605;134167;589016;6440330;146103;6702797;355889;265308;336471;1132974;347149;8629000
SANTANDER BANK POLSKA S.A.;1466085;487445;260911;1585856;n.a.;3688132;41203975;14601797;37760387;654126;1732672;2504139;7104171;450814;55158689
SANTANDER CONSUMER USA HOLDINGS INC;n.a.;n.a.;422262;422262;2341920;36429959;n.a.;3168192;27767019;116828;4662533;4656555;7318620;74056;48933529
SAUDI BRITISH BANK JSC (THE);3371063;2040992;n.a.;974050;n.a.;399934;51244409;8104753;41247194;4092239;1963722;2541404;14976068;3491601;70792655
SAUDI INVESTMENT BANK (THE);5294271;4486667;2752803;3676851;3100;600991;18415482;9595623;15230109;67823;607438;775036;3735202;n.a.;26883894
SBI HOLDINGS, INC;26178814;9866587;4621895;11376459;n.a.;10570838;16371767;39234215;6819062;1750488;1263661;2574306;5461813;1441003;50719661
SCHRODERS PLC;459515;n.a.;n.a.;127410;n.a.;4558278;n.a.;6754030;528928;1487191;69938;2785170;5048497;999596;27904444
SCOTIABANK CHILE;1289544;31084;1462925;6264101;n.a.;8739074;21473450;3627421;33273719;250661;1160757;1669053;2879352;n.a.;46538491
SCOTIABANK PERU SAA;454811;n.a.;2121627;5390465;n.a.;666979;13507210;4657982;15089677;294204;1326677;1692376;2986777;174011;23028008
SCOTIABANK TRINIDAD & TOBAGO LIMITED;128902;n.a.;n.a.;182849;n.a.;n.a.;2652733;889476;2321190;437;196564;275826;619939;437;3766531
SEACOAST BANKING CORPORATION OF FLORIDA;38430;0;86121;86121;319333;96850;5584750;128273;5183275;225351;243619;301008;985639;205285;7108510
SEALAND SECURITIES CO., LTD.;2627605;1009319;2623491;3481111;n.a.;1861653;n.a.;4285063;764423;21832;76457;509547;2076833;3162;9490215
SECURITY BANK CORPORATION;336418;132748;971645;1844336;n.a.;988696;9845614;1091779;8688704;68645;529001;664519;2331039;16585;15627592
SEI INVESTMENTS COMPANY;n.a.;n.a.;n.a.;n.a.;n.a.;47606;n.a.;878033;n.a.;388544;15952;1820902;1738778;64489;2151370
SERVISFIRST BANCSHARES, INC.;551982;100473;470749;470749;0;64703;7530433;630600;7191178;14179;287645;311339;842682;13615;8947650
SEVEN BANK LTD;n.a.;n.a.;n.a.;n.a.;7360;967765;6290341;7805391;213965;272907;26633;941868;2049963;n.a.;9989743
SHANGHAI COMMERCIAL & SAVINGS BANK LTD;8495631;63096;367389;2808515;n.a.;2513440;54974679;25605529;36940457;60046;994678;1359955;6783575;3003;68941630
SHANGHAI PUDONG DEVELOPMENT BANK;39990697;411192;32572348;232485328;102189494;44512809;524093597;132938742;562537564;2481466;18441391;27291827;80299269;999141;1002709165
SHANXI SECURITIES CO., LTD;2644402;392504;1746192;2535055;n.a.;921103;n.a.;5828529;782654;85086;-20405;730239;1891476;68261;7971343
SHENGJING BANK;6876859;2678322;8604141;29492845;n.a.;6565145;93755687;38310704;63886577;36937;2340039;3006622;11324171;n.a.;146197336
SHENWAN HONGYUAN GROUP;9203745;5617710;12014288;13581638;n.a.;15892632;n.a.;33349056;7592445;20569;460809;3520252;12141320;n.a.;55608597
SHIN KONG FINANCIAL HOLDING CO.,LTD;7147351;356630;1355988;1638118;233726;2057365;25652007;34997684;25076935;100288;3494379;2122733;6486975;77561;132237221
SHINHAN FINANCIAL GROUP;10364372;n.a.;7850869;8482513;n.a.;86720909;254684971;107939310;281050099;4801100;8410748;11325527;36215565;4050828;477128682
SHINKIN CENTRAL BANK;1917525;203818;18587498;19012439;202585;49557619;286787931;129905589;77617786;205262;860184;1515538;14262061;n.a.;375971457
SHINSEI BANK LIMITED;679660;n.a.;3581996;5099936;4194572;11687930;53810591;17495125;46020296;617047;1228252;3138528;8376118;97755;94080693
SIGNATURE BANK;52280;0;150000;150000;3091069;1749780;40386190;935796;39150227;60;1332147;1345682;4769823;0;50621162
SILVERGATE CAPITAL CORPORATION;n.a.;n.a.;n.a.;n.a.;0;3714;n.a.;19086;0;n.a.;n.a.;27283;231036;n.a.;251829
SIMMONS FIRST NATIONAL CORPORATION;716747;0;150145;150145;1258640;460167;16108870;1000969;14675195;1182860;605275;814748;2988922;1055520;21264500
SINOLINK SECURITIES CO., LTD;2765991;775647;410423;439184;335094;594700;n.a.;4694361;1314933;15923;110319;622526;2975299;6591;7177763
SINOPAC FINANCIAL HOLDINGS;4605834;1190712;1290098;3077732;n.a.;1583458;46005612;16508571;33320627;72642;534899;1209810;4928113;36147;60888882
SKANDINAVISKA ENSKILDA BANKEN AB;24856279;19947845;906305;9988816;31080081;66003892;124379146;73537362;177804242;880174;2467928;5391266;16743196;515308;307189571
SLM CORPORATION;n.a.;n.a.;n.a.;n.a.;289230;4354037;24283983;5720760;24667792;n.a.;1623315;1672242;3311836;n.a.;32686479
SOCIEDAD MATRIZ DEL BANCO DE CHILE S.A.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7706;n.a.;n.a.;49;-214;3096;n.a.;7860
SOCIETE GENERALE;211000331;168088703;130246979;245666203;n.a.;159392465;460427677;515650643;508965291;7852565;12565227;27570479;77031528;5197971;1523670592
SOOCHOW SECURITIES CO., LTD;4008114;1403502;1878607;1878607;n.a.;4093571;n.a.;9324105;1660785;48278;46885;734294;3042191;21455;13773385
