Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
BANCO DE CHILE SA;CL;3438273;191143;3196746;414620;n.a.;12032214;29790701;n.a.;55428721;8233670;39273929;78304;1884667;2713975;4738287;n.a.
PUBLIC BANK BERHAD;MY;2178285;2006;2312701;237179;14327037;3275567;72011503;n.a.;105761924;14281653;80263041;596955;1850284;2713413;10933709;583380
CHINA MERCHANTS SECURITIES CO., LTD.;CN;6378595;5106601;14987818;13984068;n.a.;10270636;n.a.;1442162;54640316;41297516;7903910;3653;271245;2679934;12183748;1384
BANK OF EAST ASIA LTD;HK;7997945;n.a.;3584821;n.a.;9530628;1845383;73651856;n.a.;111108001;34897650;64894825;247335;1862078;2607679;14079620;189290
SBI HOLDINGS, INC;JP;26178814;9866587;11376459;4621895;n.a.;10570838;16371767;n.a.;50719661;39234215;6819062;1750488;1263661;2574306;5461813;1441003
BANCO DE CREDITO E INVERSIONES - BCI;CL;3586350;263242;8115836;1221282;28439;9671970;37003379;n.a.;67600416;8501349;44466756;542847;1774723;2550555;5093229;194069
SAUDI BRITISH BANK JSC (THE);SA;3371063;2040992;974050;n.a.;n.a.;399934;51244409;n.a.;70792655;8104753;41247194;4092239;1963722;2541404;14976068;3491601
SANTANDER BANK POLSKA S.A.;PL;1466085;487445;1585856;260911;n.a.;3688132;41203975;87570;55158689;14601797;37760387;654126;1732672;2504139;7104171;450814
INDUSIND BANK LIMITED;IN;314584;n.a.;1814799;n.a.;n.a.;7990692;25052557;n.a.;40754120;2129590;27429952;10458;1599602;2485812;4609354;n.a.
YES BANK LIMITED;IN;344785;175099;8159328;n.a.;n.a.;8191519;12713165;n.a.;34201642;1133216;22725814;n.a.;901224;2458482;2877854;n.a.
ATTIJARIWAFA BANK;MA;2534732;96093;4913569;2617331;n.a.;3816823;34889381;n.a.;55518673;16321160;33652040;1341150;1557003;2448199;5621173;1033372
SAMBA FINANCIAL GROUP;SA;2872279;1904708;4176482;1876800;n.a.;1675893;48040184;n.a.;68161017;22377244;37758734;4074;1700440;2292943;12119689;4074
BANCO BTG PACTUAL SA;BR;6009544;5618729;8182573;7437371;n.a.;7850337;5430826;1575909;41275424;17997538;8022894;242088;-198665;2260387;5446744;242088
YUANTA FINANCIAL HOLDING CO LTD;TW;3688053;1581192;7034244;6598881;1578668;2912971;36388303;3543095;80193951;28409453;25691919;1102686;868030;2178986;8310848;997472
MEGA FINANCIAL HOLDING COMPANY;TW;10968255;119058;23290598;8609322;n.a.;573514;81693254;634716;122352612;44399935;62236026;20286;1164779;2171476;10764009;n.a.
MIZRAHI TEFAHOT BANK LTD.;IL;251157;34722;206597;n.a.;n.a.;9681713;61057002;n.a.;79063657;15208333;59422453;25174;1545139;2106771;4862558;25174
INDUSTRIAL SECURITIES CO., LTD;CN;8052806;1234846;3758677;3686336;1201577;6923483;n.a.;5164747;24413189;15001401;2967663;30404;107417;2039490;5301801;1755
GUOSEN SECURITIES CO., LTD;CN;10975671;3402417;6751784;5985849;80594;5374172;n.a.;6670298;32151755;19922555;5396887;95435;243277;2017075;8051417;1468
JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM- VIETCOMBANK;VN;10773931;n.a.;7168339;n.a.;50;924345;40097210;n.a.;52805825;12944675;31280074;97637;1493300;1990428;3493111;n.a.
