Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
SYNCHRONY FINANCIAL;10050000;0;0;0;4206000;15660000;65159000;11237000;81777000;2343000;15236000;13313000;15088000;104826000
JOYO BANK LTD;9756302;NA;1639972;2313910;786366;8697958;82549313;10596771;61886663;73579;928179;1019568;5312282;100381724
NISHI-NIPPON FINANCIAL HOLDINGS, INC;143477;NA;2724260;3083045;3222723;9239126;78027335;15930497;69116911;34213;907305;1095925;4680377;99565459
YAMAGUCHI FINANCIAL GROUP, INC;200377;NA;1485419;2331711;4778059;259384;82857031;9154545;69795982;98234;904940;1351748;5798004;97565919
THE NISHI-NIPPON CITY BANK LTD;547829;NA;2724260;3083045;3208639;9186376;76279681;16188455;67217767;28307;853303;906881;4684425;97506664
JYSKE BANK A/S;8883746;6929852;2589014;6974640;NA;6478827;19014515;24629937;65854342;150;1503617;1263949;5349091;97325903
THE HACHIJUNI BANK, LTD;394112;NA;5677452;13460175;2370506;7235428;64172072;15817507;49288741;46375;752190;1179062;6885281;96325183
NAVIENT CORPORATION;NA;NA;NA;NA;15247000;74951000;NA;3781000;86820000;757000;4673000;1553000;3349000;94903000
TURKIYE IS BANKASI AS - ISBANK;4206118;501294;481685;1502889;9452002;14124042;48564417;19454709;53556817;323040;8204874;7661880;12486474;94125014
SHINSEI BANK LIMITED;679660;NA;3581996;5099936;4194572;11687930;53810591;17495125;46020296;617047;1414692;3138528;8376118;94080693
BANKINTER SA;1853199;324109;408832;9789451;104659;10375714;62828927;19166411;66472430;440301;1563311;2473592;5392279;94064904
BBVA USA BANCSHARES, INC;6046216;183716;173028;173028;0;3702390;74985800;7364663;63137965;4555334;3560416;3740459;13386562;93603600
BANK OF KYOTO;939494;NA;3952383;8070304;8141150;671095;65474059;10925290;53320149;27755;716035;861362;7681564;92718154
NORTH PACIFIC BANK;80800;NA;46099;46099;699135;4455768;81470454;15322034;60961888;59706;622806;1018942;3767029;91886305
BANCO COMERCIAL PORTUGUES, SA;1363641;NA;48641;7177313;199075;3364832;66398596;23524182;56394893;272571;2237189;2842739;8292100;91718193
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA - PKO BP SA;1362140;284646;NA;676199;1043790;8112278;67976403;22900175;60655920;836822;3359928;3956078;10948205;91645991
JAPAN SECURITIES FINANCE CO LTD;62072440;60949607;64649910;75475992;3367065;8960083;NA;74226773;6320322;22153;68942;134876;1165474;90289736
MEDIOBANCA - BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI;9060675;NA;NA;15785030;NA;22848978;27298199;23255517;55349938;1026200;2146256;2739075;11264927;89042465
BPER BANCA SPA;5691569;NA;NA;13720232;NA;6554913;58514798;14791754;67937457;752506;1594966;2503853;5944523;88786220
HIROSHIMA BANK LTD;383634;NA;3683790;4603754;1487949;5929503;69269340;13944609;59334353;85041;697452;886449;4434738;86831733
THE 77 BANK;91601;NA;110267;190359;2658694;2631251;69705531;7138317;44369836;3533;646081;840561;4116237;80681116
TURKIYE HALK BANKASI AS;12887161;12172234;11450455;16110230;NA;8554983;45905276;18480261;51601758;35071;8017548;2365036;5408970;78810299
OP CORPORATE BANK PLC;10252147;NA;NA;17225090;10914953;16271323;17416068;42387000;26769495;796490;452730;1299774;4913751;77656138
THE GUNMA BANK LTD;164416;NA;1007663;1007663;1555777;4895354;64766405;7956790;50577352;89788;680929;1151858;4489669;77432054
CME GROUP INC;NA;NA;NA;NA;303800;3439400;NA;24539800;NA;33035500;NA;4872600;26159300;75215300
THE CHUGOKU BANK, LTD;660874;NA;3145060;3421674;2124039;1450202;61653921;5975170;44703405;28188;703137;846237;4702778;74952956
COMERICA INCORPORATED;4845000;30000;71000;71000;674000;6595000;57507000;5979000;49738000;639000;2807000;3349000;7327000;73519000
TURKIYE VAKIFLAR BANKASI TAO;6875758;5676424;4276151;5828848;NA;15893598;41154041;17127706;47588640;57485;7245510;3309653;5703530;72868122
EUROBANK ERGASIAS SERVICES AND HOLDINGS SA;3378063;2881521;224680;8000854;NA;2919716;50149693;15317557;41975836;424645;2364757;2145694;7489707;72752498
GARANTI BBVA;5084819;4518;246401;749403;NA;9019087;46163973;14243812;45496284;5542;7067638;4294320;9096926;72187765
